#Alpha Bringer
$Alpha Bringer Shard
Stage;Level;Shard;Echo;Gold
1;1;0;0;0
1;2;0;;
1;3;0;;
1;4;0;;
1;5;0;;
2;5.5;0;;
2;6;0;;
2;7;0;;
2;8;0;;
2;9;0;;
2;10;0;;
3;10.5;10;0;0 #slot 2->4, maxlvl 15
3;11;0;6500;67300
3;12;0;7500;77700
3;13;0;8500;88100
3;14;0;9400;97400
3;15;0;10400;107000
4;15.5;;;
4;16;0;;
4;17;0;;
4;18;0;;
4;19;0;;
4;20;0;;
5;20.5;;; #slot 4->7
5;21;0;;
5;22;0;;
5;23;0;;
5;24;0;;
5;25;0;;
6;25.5;20;0;0
6;26;0;23400;242000
6;27;0;24700;256000
6;28;0;26100;270000
6;29;0;27400;284000
6;30;0;28800;298000
7;30.5;20;0;0 #slot 7->11
7;31;0;30500;316000
7;32;0;32300;334000
7;33;0;34000;352000
7;34;0;35800;371000
7;35;0;37500;388000
8;35.5;40;0;0
8;36;0;39300;407000
8;37;0;;
8;38;0;;
8;39;0;;
8;40;0;;
9;40.5;;;
9;41;0;;
9;42;0;;
9;43;0;;
9;44;0;;
9;45;0;;
10;45.5;;;
10;46;0;;
10;47;0;;
10;48;0;;
10;49;0;;
10;50;0;;
