#Arcangelus
$Arcangelus Shard
Stage;Level;Shard;Echo;Gold
1;1;0;0;0
1;2;0;4200;43500
1;3;0;;
1;4;0;;
1;5;0;;
2;5.5;0;;
2;6;0;;
2;7;0;;
2;8;0;;
2;9;0;;
2;10;0;;
3;10.5;10;0;0 #slot 2->4, maxlvl 15
3;11;0;;
3;12;0;;
3;13;0;;
3;14;0;;
3;15;0;;
4;15.5;;;
4;16;0;;
4;17;0;;
4;18;0;;
4;19;0;;
4;20;0;;
5;20.5;;;
5;21;0;;
5;22;0;;
5;23;0;;
5;24;0;;
5;25;0;;
6;25.5;20;0;0
6;26;0;;
6;27;0;;
6;28;0;;
6;29;0;;
6;30;0;;
7;30.5;;;
7;31;0;;
7;32;0;;
7;33;0;;
7;34;0;;
7;35;0;;
8;35.5;;;
8;36;0;;
8;37;0;;
8;38;0;;
8;39;0;;
8;40;0;;
9;40.5;;;
9;41;0;;
9;42;0;;
9;43;0;;
9;44;0;;
9;45;0;;
10;45.5;;;
10;46;0;;
10;47;0;;
10;48;0;;
10;49;0;;
10;50;0;;
