#Eternal fortress
$Artifact Shard
Stage;Level;Shard;Echo;Gold
1;1;0;0;0
1;2;0;8900;92200
1;3;0;9700;100000
1;4;0;10500;108000
1;5;0;11300;117000
2;5.5;40;; #slot 1->2
2;6;0;13800;143000
2;7;0;16200;167000
2;8;0;18700;193000
2;9;0;21000;218000
2;10;0;23500;243000
3;10.5;40;0;0 #slot 2->4, maxlvl 15
3;11;0;27600;286000
3;12;0;31700;328000
3;13;0;35700;370000
3;14;0;39800;412000
3;15;0;43900;455000
4;15.5;40;;
4;16;0;47900;496000
4;17;0;52000;539000
4;18;0;;
4;19;0;;
4;20;0;;
5;20.5;;; #slot 4->7
5;21;0;;
5;22;0;;
5;23;0;;
5;24;0;;
5;25;0;;
6;25.5;;0;0
6;26;0;;
6;27;0;;
6;28;0;;
6;29;0;;
6;30;0;;
7;30.5;;; #slot 7->11
7;31;0;;
7;32;0;;
7;33;0;;
7;34;0;;
7;35;0;;
8;35.5;;;
8;36;0;;
8;37;0;;
8;38;0;;
8;39;0;;
8;40;0;;
9;40.5;;;
9;41;0;;
9;42;0;;
9;43;0;;
9;44;0;;
9;45;0;;
10;45.5;;;
10;46;0;;
10;47;0;;
10;48;0;;
10;49;0;;
10;50;0;;
